"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene_ID"
"248190_at"	0.682891301978598	5.51798904923807	6.27354735740037	0.000133567615063612	0.023815447694404	1.51611197774341	"AT5G54120"
"262811_at"	0.748181605678102	5.72452743823588	6.28467184709988	0.000131781851730849	0.023815447694404	1.52914433942162	"AT1G11700"
"267034_at"	0.940082044873422	10.0719349495613	6.27308659625986	0.000133642144010684	0.023815447694404	1.51557179698339	"AT2G38310"
"253620_at"	0.517760246644296	6.69644794872175	6.24264690245152	0.000138667388421713	0.0245194041077464	1.47981507167457	"AT4G30520"
"260475_at"	1.30324214923813	6.11193214475322	6.22687037738438	0.000141352404661055	0.0248019103870666	1.46122824653654	"AT1G11080"
"245171_at"	0.521078296634337	4.87461528166661	6.20069531833941	0.000145932600719291	0.0252175956242957	1.43030823522343	"AT2G47560"
"255940_at"	0.572890864299489	6.76239252711726	6.20447061201878	0.000145262150737601	0.0252175956242957	1.43477425437488	"AT1G20380"
"260496_at"	0.590061144800399	7.25557586811458	6.18694363840713	0.000148403318127377	0.0253244644252287	1.41402243663788	"AT2G41700"
"263386_at"	0.585016420641683	6.73826110231221	6.18491562220889	0.000148771513940405	0.0253244644252287	1.41161829637798	"AT2G40150"
"256953_at"	0.661036479876247	7.10416012268675	6.16645966311941	0.000152168257267703	0.0255217496196787	1.38971095132221	"AT3G29630"
"263796_at"	0.506423577838343	7.21926060677776	6.17182069557153	0.000151172981849653	0.0255217496196787	1.39607982132295	"AT2G24540"
"245885_at"	0.733558907327153	9.25992843156746	6.1466078438325	0.000155916187898012	0.0259594762478368	1.36608936990536	"AT5G09440"
"245555_at"	0.583592873191406	11.409554775708	6.11954751996288	0.000161187427763546	0.0260757817538048	1.33379451054679	"AT4G15390"
"250582_at"	0.930404778031372	5.90174103231644	6.12377674296174	0.000160350988138824	0.0260757817538048	1.33884913738506	"AT5G07580"
"260414_at"	1.06765367368631	7.25490366246541	6.12950797170624	0.000159225000232972	0.0260757817538048	1.34569459052597	"AT1G69850"
"262134_at"	0.580883735104352	5.09977613226042	6.12561355787573	0.000159989178963649	0.0260757817538048	1.34104359405008	"AT1G77990"
"254125_at"	0.763617330507129	5.45508909184686	6.08976280613566	0.000167214030195293	0.0266723918094729	1.29812003137687	"AT4G24670"
"264680_at"	-0.78772590071031	7.78770386153206	-6.09352832812734	0.000166438785161645	0.0266723918094729	1.30263759689763	"AT1G65510"
"256927_at"	0.821136460387026	5.9889303957439	6.07552496269284	0.000170180943024136	0.0269571340998649	1.28101916080446	"AT3G22550"
"258325_at"	0.783725171314695	4.57921144035915	6.06768610323863	0.000171838775684116	0.0270320170576186	1.27159086383418	"AT3G22830"
"261958_at"	0.51060740977692	5.21003886059991	6.0429280849655	0.000177190986602326	0.0276830575643772	1.24175138286125	"AT1G64500"
"263777_at"	0.493952073245549	6.53341846974042	6.03085140951599	0.000179867154526504	0.0279099986037385	1.22716212335436	"AT2G46450"
"248535_at"	0.592058920481726	6.30237188995124	6.01414640201263	0.000183641507729983	0.0282203251523707	1.20694489257513	"AT5G50120"
"249126_at"	0.916812491024589	6.22908276980044	6.00570929248151	0.000185580391659254	0.0282203251523707	1.19671767277692	"AT5G43380"
"249566_at"	0.62242330853764	5.46019172771183	6.00807774285337	0.000185033878913291	0.0282203251523707	1.19958973880571	"AT5G38450"
"258359_s_at"	0.448261797803615	4.95747706028071	6.00038298147506	0.000186815830688644	0.0282203251523707	1.19025566594768	"AT3G14415"
"247214_at"	0.815016516757767	6.40277209076422	5.96278722584382	0.000195794127572331	0.0286286157046467	1.14452000517128	"AT5G64850"
"247731_at"	0.668653034516386	6.55182888798336	5.96773751202817	0.000194585630690136	0.0286286157046467	1.15055447506803	"AT5G59590"
"255576_at"	0.814453833997155	6.84047311566373	5.97496163626034	0.000192836525481947	0.0286286157046467	1.15935403798688	"AT4G01440"
"258143_at"	0.982528815282192	8.63882604118643	5.97372882635992	0.000193133802490054	0.0286286157046467	1.15785294317283	"AT3G18170"
"265468_at"	-0.474513861282911	5.2356134925168	-5.97222217034095	0.000193497789361194	0.0286286157046467	1.15601809110906	"AT2G37210"
"260144_at"	1.00885083795	6.26035902793386	5.93449661699225	0.000202858703757163	0.0294726562592413	1.10996111222947	"AT1G71960"
"250937_at"	-0.923894461599543	6.23673366997162	-5.92289288879486	0.0002058358576399	0.0295290308979002	1.0957507720142	"AT5G03230"
