,Ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_symbol
193,AT1G49050,728.839510439321,-0.751106179512803,0.100189992514021,-7.49681840137563,6.53854660345638e-14,6.98066076498543e-12,
194,AT4G17710,36.9564821762783,-4.36130386247541,0.583492960113435,-7.47447554744712,7.75123575779681e-14,8.23269138089707e-12,HDG4
195,AT3G17160,1006.83941237596,0.788128368519766,0.105829614110584,7.44714393171872,9.5382542891608e-14,1.00705854240956e-11,
196,AT5G01380,33.6016576275815,-4.40227827753799,0.59118155309706,-7.44657585216505,9.57939695764492e-14,1.00705854240956e-11,
197,AT4G01450,56.4134961252462,-2.86104578990927,0.384530510933612,-7.44036092991128,1.00410575062747e-13,1.05023345135426e-11,
198,AT1G71110,410.841441043512,-1.07054350024543,0.144821799902553,-7.39214331658472,1.44480671871866e-13,1.50354759793929e-11,
199,AT5G48360,594.290611701558,1.07049271639092,0.144921018288319,7.38673195258113,1.50481527568008e-13,1.55812657062251e-11,
200,AT5G62070,327.856378360468,-1.13112097567066,0.153651456317493,-7.36160269990155,1.81715130466172e-13,1.87212013162773e-11,IQD23
201,AT5G05180,146.372503147226,-1.44369741328401,0.196646668098529,-7.34158085282507,2.11085573432498e-13,2.16388967192867e-11,
202,AT2G46180,775.48914431256,-0.691195917746206,0.0943061723439558,-7.32927549243817,2.31400271234357e-13,2.36039732118016e-11,GC4
